Date,Close,Revenue,GDP
2017/4/3,65.550003,22.1,19201.33734
2017/4/4,65.730003,22.1,19201.33734
2017/4/5,65.559998,22.1,19201.33734
2017/4/6,65.730003,22.1,19201.33734
2017/4/7,65.68,22.1,19201.33734
2017/4/10,65.529999,22.1,19201.33734
2017/4/11,65.480003,22.1,19201.33734
2017/4/12,65.230003,22.1,19201.33734
2017/4/13,64.949997,22.1,19201.33734
2017/4/17,65.480003,22.1,19201.33734
2017/4/18,65.389999,22.1,19201.33734
2017/4/19,65.040001,22.1,19201.33734
2017/4/20,65.5,22.1,19201.33734
2017/4/21,66.400002,22.1,19201.33734
2017/4/24,67.529999,22.1,19201.33734
2017/4/25,67.919998,22.1,19201.33734
2017/4/26,67.830002,22.1,19201.33734
2017/4/27,68.269997,22.1,19201.33734
2017/4/28,68.459999,22.1,19201.33734
2017/5/1,69.410004,22.1,19325.73632
2017/5/2,69.300003,22.1,19325.73632
2017/5/3,69.080002,22.1,19325.73632
2017/5/4,68.809998,22.1,19325.73632
2017/5/5,69,22.1,19325.73632
2017/5/8,68.940002,22.1,19325.73632
2017/5/9,69.040001,22.1,19325.73632
2017/5/10,69.309998,22.1,19325.73632
2017/5/11,68.459999,22.1,19325.73632
2017/5/12,68.379997,22.1,19325.73632
2017/5/15,68.43,22.1,19325.73632
2017/5/16,69.410004,22.1,19325.73632
2017/5/17,67.480003,22.1,19325.73632
2017/5/18,67.709999,22.1,19325.73632
2017/5/19,67.690002,22.1,19325.73632
2017/5/22,68.449997,22.1,19325.73632
2017/5/23,68.68,22.1,19325.73632
2017/5/24,68.769997,22.1,19325.73632
2017/5/25,69.620003,22.1,19325.73632
2017/5/26,69.959999,22.1,19325.73632
2017/5/30,70.410004,22.1,19325.73632
2017/5/31,69.839996,22.1,19325.73632
2017/6/1,70.099998,22.1,19441.68634
2017/6/2,71.760002,22.1,19441.68634
2017/6/5,72.279999,22.1,19441.68634
2017/6/6,72.519997,22.1,19441.68634
2017/6/7,72.389999,22.1,19441.68634
2017/6/8,71.949997,22.1,19441.68634
2017/6/9,70.32,22.1,19441.68634
2017/6/12,69.779999,22.1,19441.68634
2017/6/13,70.650002,22.1,19441.68634
2017/6/14,70.269997,22.1,19441.68634
2017/6/15,69.900002,22.1,19441.68634
2017/6/16,70,22.1,19441.68634
2017/6/19,70.870003,22.1,19441.68634
